X,Y,Z,sigmaX,sigmaY,sigmaZ,offset
CODE25,-60.8940,-5.6802,-1.7753,0.0003,0.0003,0.0004,0.0000
CODE26,1.8280,15.2227,0.0107,0.0003,0.0003,0.0004,0.0000
CODE29,-46.7182,-6.3539,-1.6759,0.0003,0.0003,0.0003,0.0000
CODE30,-44.0459,-25.2299,-2.6395,0.0004,0.0003,0.0004,0.0000
CODE31,-30.4587,15.2856,-0.2113,0.0004,0.0003,0.0004,0.0000
CODE32,1.6880,-25.6567,-0.1029,0.0003,0.0003,0.0004,0.0000
CODE36,-77.6635,-5.1562,-2.1012,0.0003,0.0003,0.0004,0.0000
CODE38,29.9407,-25.0639,-0.1342,0.0004,0.0003,0.0004,0.0000
CODE42,-78.6989,-25.3280,-2.9008,0.0004,0.0003,0.0005,0.0000
CODE43,29.9552,15.4963,0.0200,0.0004,0.0003,0.0004,0.0000
CODE45,-30.2104,-25.0173,-0.3440,0.0003,0.0002,0.0004,0.0000
CODE46,-61.5320,-24.9977,-2.8539,0.0004,0.0002,0.0004,0.0000
CODE133,-71.6804,-27.9222,-0.5892,0.0004,0.0003,0.0004,0.0000
CODE134,-48.3316,-28.1085,-0.4995,0.0004,0.0003,0.0005,0.0000
CSB-045-1,-78.3804,-27.7841,-0.8886,0.0004,0.0003,0.0004,0.0000
CSB-045-2,-76.8500,-27.7868,-0.8822,0.0004,0.0002,0.0004,0.0000
CSB-045-3,-75.2924,-27.7993,-0.8753,0.0004,0.0002,0.0004,0.0000
CSB-045-4,-73.7446,-27.8060,-0.8693,0.0004,0.0002,0.0004,0.0000
CSB-045-5,-46.1486,-28.0269,-0.7661,0.0005,0.0003,0.0005,0.0000
CSB-045-6,-44.6273,-28.0252,-0.7627,0.0004,0.0003,0.0005,0.0000
CSB-045-7,-43.1080,-28.0470,-0.7554,0.0004,0.0003,0.0005,0.0000
CSB-045-8,-41.5265,-28.0504,-0.7497,0.0004,0.0003,0.0004,0.0000
NUGGET133_1,-72.2830,-27.3554,-0.5649,0.0004,0.0003,0.0004,0.0000
